iter	TotalF1	MultiClass
0	0.9313462657	1.048898623
1	0.9352697987	1.003186262
2	0.9355588864	0.9610095297
3	0.9358884379	0.9221226365
4	0.9370522366	0.8857954978
5	0.9371852899	0.8518710091
6	0.9376813175	0.8202058458
7	0.9377943361	0.790586328
8	0.9378292995	0.7625905316
9	0.9383578428	0.7362347101
10	0.9386956001	0.71144107
11	0.9389795279	0.6880541589
12	0.9393420721	0.6659553271
13	0.939598991	0.6450826708
14	0.9396189371	0.6252690492
15	0.939675412	0.6063767933
16	0.9399864138	0.5882822883
17	0.939981775	0.5713869846
18	0.9402676103	0.555046343
19	0.9405023133	0.5395293511
20	0.9418369511	0.5247241354
21	0.9418873915	0.5107388516
22	0.9418401334	0.4974427622
23	0.9422268386	0.4845076659
24	0.9421811488	0.4722519928
25	0.9423477857	0.4603782939
26	0.9423702365	0.4491063114
27	0.9426659373	0.4381483682
28	0.9427212016	0.4277302021
29	0.9429453327	0.4176436342
30	0.9430593085	0.4079857652
31	0.9432010512	0.398662039
32	0.9432775314	0.3898191366
33	0.943481412	0.3811884101
34	0.9436295904	0.3729347075
35	0.9437687117	0.3649540583
36	0.9441199782	0.357250987
37	0.9443389438	0.349832308
38	0.944455201	0.3426731103
39	0.9446431523	0.335805523
40	0.944704469	0.3292373789
41	0.9448531298	0.3229100021
42	0.9450625685	0.3168231651
43	0.9452159832	0.3108247941
44	0.9454326728	0.3050943424
45	0.9455093066	0.2995853732
46	0.9456389872	0.2941895003
47	0.9457553833	0.2890220791
48	0.9459189113	0.2839899199
49	0.9460381195	0.2792039191
50	0.9461323895	0.2746334521
51	0.9462647603	0.2700709972
52	0.9463613719	0.2657578781
53	0.946463386	0.2615711904
54	0.9466137321	0.2575175452
55	0.9466547133	0.2535418065
56	0.9468713961	0.2497711136
57	0.9470057475	0.2460576566
58	0.9470914586	0.2425929884
59	0.9471697952	0.2392464302
60	0.9472405414	0.2358900532
61	0.9473964893	0.2327192427
62	0.9475218769	0.2296610805
63	0.9476688499	0.2266512244
64	0.9478116382	0.2236715004
65	0.9479219908	0.2207941569
66	0.947982793	0.2179810736
67	0.9481425361	0.2152004599
68	0.9482429294	0.2126033704
69	0.9484055353	0.210106724
70	0.9484656824	0.2076485282
71	0.9484990609	0.2053804276
72	0.9486634457	0.2030252101
73	0.9487200975	0.2008344701
74	0.9488196205	0.1986922008
75	0.9490660448	0.1966183604
76	0.9491755275	0.1945984098
77	0.949233052	0.1926492372
78	0.949309549	0.1907872166
79	0.9494688399	0.1887381671
80	0.9495577464	0.1870388712
81	0.949677831	0.1852675175
82	0.9497709662	0.1835890749
83	0.9498367546	0.181940879
84	0.9498922968	0.1802827604
85	0.9501166423	0.1787462407
86	0.9502049378	0.1772202609
87	0.9503000847	0.1757456765
88	0.9503973095	0.1742412426
89	0.9504346224	0.1728690501
90	0.950589986	0.1715792981
91	0.9506779602	0.1702986069
92	0.9507718513	0.1690106642
93	0.9508621288	0.1677161923
94	0.9509854932	0.1665077793
95	0.9510440585	0.1653887349
96	0.9512559706	0.1642744057
97	0.9513322569	0.1631325817
98	0.9514297315	0.1620401941
99	0.9514376612	0.161092935
100	0.9515236485	0.160135749
101	0.9517240702	0.1589589573
102	0.9518209016	0.1579960021
103	0.9519669957	0.1569439145
104	0.9520777639	0.1560327745
105	0.9521793952	0.1551739613
106	0.9523033006	0.154166658
107	0.95242737	0.1533069167
108	0.9524830345	0.152515508
109	0.9526580307	0.151619508
110	0.9527775537	0.1507602846
111	0.9528346703	0.1501311916
112	0.9529630553	0.1493045367
113	0.9530730272	0.1485063072
114	0.953155642	0.1478498452
115	0.9532812693	0.147139793
116	0.9533535934	0.1463607455
117	0.9534380826	0.1456107202
118	0.9534876383	0.1448473809
119	0.9536148551	0.1442929034
120	0.9536269513	0.1436636461
121	0.9536788286	0.1429549479
122	0.9537211745	0.1424214951
123	0.9537962965	0.141830113
124	0.953920952	0.1412429817
125	0.9540603285	0.140598336
126	0.9540999428	0.1399999474
127	0.954193447	0.1393877977
128	0.954258393	0.1389195844
129	0.9543018537	0.1384325414
130	0.954409347	0.1379234349
131	0.9545046643	0.1373971587
132	0.9545460075	0.1368891154
133	0.9546156562	0.1364210381
134	0.9546925095	0.1359800845
135	0.9547715143	0.1356003748
136	0.9548562814	0.1352165138
137	0.9548767657	0.1348338612
138	0.9549641679	0.1343788909
139	0.9550366115	0.1339405127
140	0.9550895317	0.1335587168
141	0.9551813184	0.1331306364
