iter	Passed	Remaining
0	1183	1774738
1	2204	1650980
2	3223	1608335
3	4265	1595415
4	5372	1606404
5	6473	1611939
6	7505	1600744
7	8537	1592327
8	9560	1583846
9	10659	1588280
10	11614	1572225
11	12585	1560613
12	13568	1552031
13	14526	1541862
14	15502	1534791
15	16465	1527180
16	17411	1518860
17	18369	1512384
18	19300	1504398
19	20254	1498853
20	21222	1494635
21	22319	1499472
22	23272	1494481
23	24239	1490745
24	25223	1488186
25	26172	1483756
26	27120	1479585
27	28061	1475223
28	29023	1472171
29	29983	1469203
30	30917	1465070
31	31891	1463002
32	32871	1461275
33	33821	1458312
34	34929	1462049
35	35876	1458997
36	36834	1456474
37	37791	1453965
38	38770	1452407
39	39742	1450595
40	40718	1448998
41	41687	1447142
42	42655	1445316
43	43626	1443632
44	44591	1441801
45	45567	1440316
46	46680	1443126
47	47622	1440575
48	48582	1438643
49	49553	1437044
50	50531	1435680
51	51507	1434296
52	52469	1432504
53	53435	1430890
54	54394	1429087
55	55359	1427489
56	56337	1426232
57	57301	1424640
58	58394	1426214
59	59331	1423953
60	60314	1422824
61	61292	1421584
62	62242	1419715
63	63176	1417527
64	64131	1415817
65	65089	1414225
66	66056	1412823
67	67026	1411491
68	67955	1409330
69	68935	1408263
70	70007	1409031
71	70951	1407204
72	71916	1405814
73	72914	1405087
74	73868	1403495
75	74834	1402156
76	75777	1400407
77	76742	1399069
78	77685	1397358
79	78712	1397140
80	79702	1396271
81	80637	1394442
82	81760	1395833
83	82739	1394756
84	83704	1393434
85	84684	1392371
86	85679	1391550
87	86634	1390083
88	87566	1388275
89	88526	1386918
90	89510	1385940
91	90457	1384399
92	91441	1383424
93	92433	1382562
94	93378	1381019
95	94453	1381385
96	95380	1379571
97	96339	1378239
98	97283	1376710
99	98214	1374997
100	99151	1373401
101	100148	1372623
102	101109	1371352
103	102105	1370566
104	103122	1370050
105	104073	1368666
106	105054	1367674
107	106176	1368492
108	107151	1367408
109	108109	1366111
110	109080	1364977
111	110005	1363282
112	111001	1362470
113	111945	1361015
114	112890	1359600
115	113847	1358321
116	114800	1356996
117	115783	1356041
118	116702	1354334
119	117775	1354419
120	118735	1353194
121	119712	1352164
122	120621	1350372
123	121597	1349339
124	122525	1347785
125	123506	1346810
126	124464	1345593
127	125418	1344329
128	126380	1343163
129	127353	1342105
130	128313	1340922
131	129291	1339933
132	130399	1340275
133	131354	1339032
134	132338	1338089
135	133316	1337086
136	134252	1335660
137	135191	1334277
138	136122	1332821
139	137124	1332064
140	138069	1330750
141	139043	1329721
142	139980	1328345
143	140891	1326731
144	142007	1327039
145	142954	1325753
146	143886	1324339
147	144837	1323106
148	145797	1321961
149	146767	1320910
150	147716	1319661
151	148627	1318089
152	149546	1316591
153	150504	1315447
154	151415	1313898
155	152367	1312702
156	153416	1312344
157	154425	1311641
158	155388	1310544
159	156302	1309032
160	157235	1307694
161	158199	1306610
162	159144	1305374
163	160087	1304125
164	161030	1302883
165	161932	1301314
166	162827	1299698
167	163777	1298518
168	164748	1297515
169	165857	1297591
170	166813	1296466
171	167753	1295215
172	168726	1294220
173	169703	1293256
174	170642	1292007
175	171539	1290445
176	172479	1289214
177	173420	1287990
178	174349	1286679
179	175210	1284878
180	176150	1283662
181	177064	1282255
182	178119	1281877
183	179043	1280552
184	179974	1279276
185	180905	1278007
186	181847	1276823
187	182746	1275333
188	183650	1273895
189	184583	1272654
190	185556	1271691
191	186477	1270378
192	187357	1268786
193	188273	1267449
194	189197	1266165
195	190241	1265691
196	191663	1267704
197	193190	1270374
198	194671	1272699
199	196218	1275417
200	197667	1277461
201	199016	1278831
202	200397	1280370
203	202022	1283435
204	203553	1285863
205	204891	1287033
206	206193	1287964
207	207419	1288396
208	208784	1289666
209	210008	1290050
210	211292	1290784
211	212681	1292143
212	213941	1292685
213	215468	1294827
214	216625	1294716
215	218026	1296049
216	219401	1297198
217	220698	1297867
218	221972	1298386
219	223311	1299264
220	224702	1300425
221	226181	1302073
222	227682	1303815
223	228788	1303279
224	229985	1303248
225	231260	1303655
226	232210	1302222
227	233193	1300976
228	234160	1299640
229	235023	1297739
230	235929	1296081
231	236863	1294580
232	237748	1292823
233	238821	1292084
234	239754	1290591
235	240724	1289303
236	241652	1287792
237	242582	1286296
238	243549	1285004
239	244469	1283463
240	245328	1281613
241	246183	1279749
242	247132	1278376
243	248095	1277081
244	249019	1275592
245	250046	1274625
246	250947	1273025
247	251857	1271475
248	252797	1270079
249	253706	1268533
250	254604	1266935
251	255581	1265735
252	256486	1264186
253	257431	1262835
254	258353	1261373
255	259288	1259979
256	260254	1258740
257	261233	1257567
258	262306	1256843
259	263219	1255353
260	264108	1253757
261	265030	1252321
262	265975	1250994
263	266868	1249429
264	267785	1247983
265	268662	1246351
266	269616	1245082
267	270525	1243611
268	271397	1241973
269	272338	1240655
270	273269	1239290
271	274379	1238740
272	275288	1237287
273	276213	1235902
274	277137	1234521
275	278073	1233193
276	278990	1231787
277	279964	1230634
278	280878	1229218
279	281841	1228022
280	282811	1226859
281	283741	1225522
282	284601	1223887
283	285488	1222374
284	286558	1221645
285	287488	1220319
286	288415	1218983
287	289390	1217853
288	290326	1216559
289	291267	1215288
290	292179	1213899
291	293170	1212840
292	294110	1211573
293	295042	1210278
294	295980	1209006
295	296919	1207741
296	298006	1207075
297	298972	1205923
298	299919	1204694
299	300872	1203488
300	301815	1202250
301	302695	1200758
302	303594	1199348
303	304528	1198080
304	305472	1196853
305	306427	1195666
306	307382	1194487
307	308372	1193440
308	309284	1192095
309	310395	1191517
310	311387	1190482
311	312330	1189259
312	313324	1188229
313	314274	1187038
314	315236	1185888
315	316173	1184650
316	317074	1183279
317	318039	1182146
318	318969	1180885
319	319894	1179611
320	320813	1178314
321	321721	1176980
322	322826	1176366
323	323775	1175184
324	324701	1173919
325	325654	1172756
326	326599	1171563
327	327608	1170600
328	328552	1169407
329	329483	1168167
330	330439	1167020
331	331424	1165975
332	332419	1164966
333	333435	1164030
334	334526	1163354
335	335470	1162165
336	336419	1160997
337	337356	1159788
338	338243	1158407
339	339172	1157175
340	340097	1155932
341	341112	1154996
342	342051	1153799
343	342968	1152533
344	343937	1151441
345	344850	1150167
346	345768	1148907
347	346848	1148187
348	347768	1146937
349	348716	1145782
350	349639	1144547
351	350582	1143375
352	351497	1142119
353	352484	1141093
354	353451	1140005
355	354387	1138818
356	355302	1137564
357	356293	1136556
358	357223	1135352
359	358259	1134489
360	359310	1133670
361	360327	1132742
362	361266	1131570
363	362208	1130408
364	363216	1129452
365	364149	1128266
366	365080	1127075
367	366068	1126058
368	367038	1124988
369	367993	1123870
370	368967	1122813
371	369912	1121670
372	370993	1120937
373	371917	1119729
374	372906	1118719
375	373939	1117841
376	374871	1116660
377	375838	1115584
378	376865	1114686
379	377849	1113661
380	378866	1112733
381	379891	1111827
382	380824	1110654
383	381732	1109409
384	382818	1108683
385	383774	1107577
386	384804	1106684
387	385701	1105412
388	386714	1104471
389	387734	1103552
390	388667	1102384
391	389625	1101288
392	390649	1100379
393	391627	1099341
394	392559	1098173
395	393489	1097000
396	394668	1096522
397	395656	1095510
398	396563	1094277
399	397518	1093176
400	398510	1092177
401	399457	1091055
402	400445	1090047
403	401471	1089139
404	402422	1088031
405	403374	1086926
406	404442	1086131
407	405516	1085351
408	406599	1084598
409	407563	1083522
410	408564	1082545
411	409606	1081679
412	410584	1080641
413	411572	1079632
414	412556	1078612
415	413489	1077459
416	414471	1076434
417	415379	1075215
418	416424	1074355
419	417339	1073159
420	418430	1072414
421	419487	1071582
422	420492	1070615
423	421461	1069557
424	422353	1068304
425	423310	1067219
426	424256	1066106
427	425188	1064958
428	426178	1063956
429	427212	1063063
430	428181	1062009
431	429123	1060887
432	430340	1060445
433	431272	1059299
434	432210	1058169
435	433242	1057269
436	434248	1056305
437	435212	1055241
438	436178	1054181
439	437215	1053290
440	438211	1052303
441	439143	1051162
442	440179	1050271
443	441169	1049268
444	442302	1048604
445	443313	1047650
446	444298	1046635
447	445336	1045744
448	446383	1044875
449	447311	1043726
450	448263	1042634
451	449290	1041718
452	450242	1040627
453	451264	1039696
454	452381	1038986
455	453403	1038054
456	454575	1037466
457	455597	1036533
458	456573	1035495
459	457601	1034576
460	458577	1033541
461	459541	1032476
462	460562	1031540
463	461534	1030494
464	462475	1029380
465	463519	1028495
466	464669	1027844
467	465664	1026849
468	466799	1026162
469	467761	1025095
470	468848	1024299
471	469940	1023514
472	471187	1023064
473	472647	1023072
474	474082	1023020
475	475558	1023050
476	477089	1023191
477	478703	1023504
478	480317	1023809
479	481778	1023778
480	483301	1023875
481	484843	1024006
482	486308	1023967
483	487774	1023923
484	489248	1023891
485	490683	1023771
486	492205	1023828
487	493902	1024240
488	495368	1024167
489	496916	1024256
490	498456	1024322
491	500049	1024492
492	501615	1024598
493	503092	1024515
494	504579	1024448
495	506080	1024403
496	507790	1024776
497	509217	1024571
498	510700	1024470
499	512239	1024478
500	513875	1024673
501	515425	1024690
502	516922	1024595
503	518464	1024584
504	519937	1024432
505	521695	1024832
506	523216	1024762
507	524768	1024744
508	526368	1024816
509	527838	1024627
510	529421	1024654
511	530906	1024484
512	532466	1024452
513	534023	1024411
514	535795	1024773
515	537299	1024618
516	538867	1024578
517	540342	1024355
518	541825	1024144
519	543341	1023989
520	544860	1023835
521	546387	1023690
522	547919	1023550
523	549754	1023970
524	551251	1023753
525	552743	1023520
526	554314	1023431
527	555844	1023258
528	557383	1023099
529	558901	1022894
530	560401	1022653
531	561967	1022527
532	563783	1022849
533	565316	1022651
534	566858	1022463
535	568302	1022096
536	569914	1022025
537	571437	1021789
538	572924	1021485
539	574492	1021319
540	576117	1021250
541	577877	1021414
542	579367	1021094
543	580904	1020854
544	582351	1020451
545	583864	1020158
546	585343	1019802
547	586849	1019490
548	588368	1019195
549	589881	1018885
550	591665	1019038
551	593223	1018796
552	594749	1018494
553	596289	1018212
554	597791	1017861
555	599327	1017562
556	600857	1017250
557	602380	1016921
558	603922	1016620
559	605633	1016599
560	607127	1016207
561	608734	1016001
562	610251	1015641
563	611849	1015410
564	613450	1015179
565	614980	1014826
566	616552	1014538
567	618099	1014205
568	619860	1014218
569	621463	1013965
570	622971	1013555
571	624497	1013170
